         3615335 function calls (3404599 primitive calls) in 92.096 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8624   34.812    0.004   34.812    0.004 {built-in method torch._C._nn.linear}
     2464    5.970    0.002    5.970    0.002 {built-in method torch.matmul}
     1232    5.284    0.004   27.074    0.022 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\t5\modeling_t5.py:471(forward)
     1232    3.886    0.003    5.037    0.004 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\activations.py:55(forward)
        1    3.083    3.083    3.115    3.115 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\regex\_regex_core.py:1(<module>)
       20    3.069    0.153    3.069    0.153 {method 'read' of '_ssl._SSLSocket' objects}
     1232    2.654    0.002    2.654    0.002 {method 'softmax' of 'torch._C.TensorBase' objects}
      100    2.371    0.024    2.399    0.024 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\tokenization_utils.py:105(split)
        1    1.896    1.896    1.896    1.896 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\win32\lib\winerror.py:1(<module>)
       16    1.429    0.089    1.429    0.089 {method 'connect' of '_socket.socket' objects}
       16    1.368    0.085    1.368    0.085 {method 'do_handshake' of '_ssl._SSLSocket' objects}
  833/305    1.276    0.002    1.515    0.005 C:\Users\User\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:512(_parse)
     1232    0.997    0.001   30.044    0.024 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\transformers\models\t5\modeling_t5.py:313(forward)
22960/112    0.978    0.000   61.177    0.546 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\module.py:1755(_call_impl)
    25894    0.832    0.000    1.154    0.000 C:\Users\User\PycharmProjects\hackathon_hse25_2\.venv\Lib\site-packages\torch\nn\modules\module.py:1944(__setattr__)
